Statement ID,Statement Topic,Statement Content,Statement Importance,Statement Classification,Statement Ideology Score,Processed
000,['Economy'],And I am actually the only person on this stage who has a plan that is about lifting up the middle class and working people of America. And that is why I imagine and have actually a plan to build what I call an opportunity economy.,1,1,5,True
001,['Economy'],"And I intend on extending a tax cut for those families of $6,000, which is the largest child tax credit that we have given in a long time.",1,1,5,True
002,['Economy'],"My passion, one of them, is small businesses. My plan is to give a $50,000 tax deduction to start up small businesses, knowing they are part of the backbone of America's economy.",1,1,5,True
003,['Economy'],"My opponent(Trump), on the other hand, his plan is to do what he has done before, which is to provide a tax cut for billionaires and big corporations, which will result in $5 trillion to America's deficit.",1,1,-1,True
004,['Economy'],"My opponent has a plan that I call the Trump sales tax, which would be a 20% tax on everyday goods that you rely on to get through the month.",1,1,5,True
005,['Economy'],"Economists have said that that Trump's sales tax would actually result for middle-class families in about $4,000 more a year because of his policies and his ideas about what should be the backs of middle-class people paying for tax cuts for billionaires.",1,1,-1,True
006,['Economy'],Donald Trump left us the worst unemployment since the Great Depression.,1,1,-1,True
007,['Healthcare'],Donald Trump left us the worst public health epidemic in a century.,1,1,-1,True
008,['Social Justice'],Donald Trump left us the worst attack on our democracy since the Civil War.,0,0,-1,True
009,['Government Policy'],What you're gonna hear tonight is a detailed and dangerous plan called Project 2025 that the former president intends on implementing if he were elected again.,1,0,5,True
010,['Economy'],"So, Donald Trump has no plan for you. And when you look at his economic plan, it's all about tax breaks for the richest people.",1,1,-1,True
011,['Economy'],"I am offering what I describe as an opportunity economy, and the best economists in our country, if not the world, have reviewed our relative plans for the future of America.",1,1,5,True
012,['Economy'],What Goldman Sachs has said is that Donald Trump's plan would make the economy worse. Mine would strengthen the economy.,1,1,5,True
013,['Economy'],What the Wharton School has said is Donald Trump's plan would actually explode the deficit.,1,1,-1,True
014,['Economy'],"Sixteen Nobel laureates have described his (Trump’s) economic plan as something that would increase inflation and, by the middle of next year, would invite a recession.
And I'd invite you to know that Donald Trump actually has no plan for you, because he is more interested in defending himself than he is in looking out for you.",1,1,-1,True
015,['Economy'],"Well, let's be clear that the Trump administration resulted in a trade deficit, one of the highest we've ever seen in the history of America.",1,1,-1,True
016,['Foreign Policy'],"He invited trade wars, you wanna talk about his deal with China--what he ended up doing is under Donald Trump's presidency he ended up selling American chips to China to help them improve and modernize their military.",1,1,-1,True
017,"['Economy', 'Foreign Policy', 'Technology']","Basically sold us out, when a policy (by Trump) about China should be in making sure the United States of America wins the competition for the 21st century. Which means focusing on the details of what that requires, focusing on relationships with our allies; focusing on investing in American based technology so that we win the race on A.I., on quantum computing; focusing on what we need to do to support America's workforce, so that we don't end up having the--on the short end of the stick in terms of workers' rights.",1,1,5,True
018,['Foreign Policy'],"But what Donald Trump did, let's talk about this, with COVID, is he actually thanked President Xi for what he did during COVID. Look at his tweet. ""Thank you, President Xi,"" exclamation point.",1,1,5,True
019,['Foreign Policy'],When we know that Xi was responsible for lacking and not giving us transparency about the origins of COVID.,1,1,5,True
020,['Social Justice'],Donald Trump hand-selected three members of the United States Supreme Court with the intention that they would undo the protections of Roe v. Wade. And they did exactly as he intended.,1,1,-1,True
021,['Healthcare'],And now in over 20 states there are Trump abortion bans which make it criminal for a doctor or nurse to provide health care. In one state it provides prison for life.,1,1,-1,True
022,['Social Justice'],Trump abortion bans that make no exception even for rape and incest.,1,1,-1,True
